set_num,name,year,theme_id,num_parts
700.2-1,Large Gift Set,1949,365,178
700.1-1,Extra-Large Gift Set,1949,365,142
700.3-1,Medium Gift Set,1949,365,142
700.A-1,Small Brick Set,1949,371,24
700.B-1,Small Doors and Windows Set,1949,371,12
700.1.1-1,Single 2 x 4 Brick,1950,371,1
700.1.2-1,Single 2 x 2 Brick,1950,371,1
700.B.1-1,Single 1 x 4 x 2 Window without Glass,1950,371,1
700.B.2-1,Single 1 x 2 x 3 Window without Glass,1950,371,1
700.B.3-1,Single 1 x 2 x 2 Window without Glass,1950,371,1
700.B.4-1,Single 1 x 2 x 4 Door without Glass,1950,371,1
,,1951,,0
,,1952,,0
700.F-1,Automatic Binding Bricks,1953,371,48
700.3.4-1,Individual 2 x 3 Bricks,1953,371,5
700.1.4-1,Individual 1 x 2 Bricks,1953,371,1
700.1-2,Extra-Large Gift Set (Mursten),1953,366,0
700GP5-1,Gift Package (Lego Mursten),1954,372,54
700GP6-1,Gift Package (Lego Mursten),1954,372,46
700.C-1,Tall Classic Windows/Door (with Glass),1954,371,24
700.16-1,Individual 2 x 8 Bricks,1954,371,5
700.20-1,Individual 2 x 10 Bricks,1954,371,5
700.24-1,Individual 2 x 12 Bricks,1954,371,5
700.28-1,Individual 2 x 14 Bricks,1954,371,5
700.H-1,Individual 4 x 4 Corner Bricks,1954,371,5
700.C.1-1,Individual 1 x 6 x 4 Panorama Window (with glass),1954,371,4
700.C.2-1,Individual 1 x 6 x 3 3-Pane Window (with glass),1954,371,4
700.C.3-1,Individual 1 x 6 x 3 Shutter Window (with glass),1954,371,4
700.C.4-1,Individual 1 x 4 x 3 Window (with glass),1954,371,4
700.C.5-1,Individual 1 x 3 x 3 Window (with glass),1954,371,4
700.C.6-1,Individual 1 x 2 x 4 Door (with glass),1954,371,4
1222-2,1 x 1 Round Bricks,1955,371,200
1221-2,1 x 1 Bricks,1955,371,160
1220-2,1 x 2 Bricks,1955,371,104
1219-2,2 x 2 Bricks,1955,371,80
1218-2,2 x 3 Bricks,1955,371,60
1236-2,Garage,1955,372,59
1217-2,2 x 4 Bricks,1955,371,52
1300-1,Lego Mosaik Set (Small),1955,370,47
1224A-1,1 x 6 and 1 x 8 Bricks,1955,371,36
1210-2,Small Store Set,1955,372,30
1214-2,Windows and Doors,1955,371,24
1213-2,Small House - Right Set,1955,372,23
1212-2,Small House - Left Set,1955,372,21
1215-2,2 x 8 & 2 x 10 Bricks,1955,371,20
1216-2,4 x 4 Corner Bricks,1955,371,20
1211-2,Small House Set,1955,372,19
1223-2,2 x 2 & 2 x 4 Curved Bricks,1955,371,14
1224.1-1,8 Danish Named Beams,1955,371,8
1224-2,8 Named Beams,1955,371,8
1240-2,8 Road Signs,1955,371,8
1241-2,8 Road Signs,1955,371,8
1225-2,Mixed Plates Parts Pack,1955,371,6
1230-2,Windows and Door without Glass,1955,371,6
1248-2,Painted Trees and Bushes,1955,371,6
1235-2,Garage Plate and Door,1955,371,3
1247-2,Esso Pumps/Sign,1955,371,2
1200-1,"LEGO Town Plan Board, Large Plastic",1955,372,1
b55dk-01,Lego Mursten - System i Leg Byggebog,1955,497,0
1310-1,ESSO Filling Station,1956,372,96
236-1,Garage with Automatic Door,1956,372,69
215-4,2 x 8 Mursten Bricks (EUR),1956,371,24
224-1,2 x 2 & 2 x 4 Curved Bricks,1956,371,14
1231-2,"Windows and Door with Glass, Red",1956,371,10
1231-3,"Windows and Door with Glass, White",1956,371,10
1271-2,Traffic Police Set,1956,372,6
1227-2,4 x 8 & 2 x 8 Plates,1956,371,5
1228-2,4 x 8 Curved & 2 x 8 Plates,1956,371,5
1226-2,6 x 8 & 2 x 8 Plates,1956,371,4
231-2,Esso Pumps/Sign,1956,371,2
1200-2,"LEGO Town Plan Board, Small Plastic",1956,372,1
b56de-01,Lego Bausteine - System im Spiel,1956,497,0
700GP0-1,Gift Package,1957,372,244
1309-1,Church,1957,372,150
1308-1,Fire Station,1957,372,109
1223-3,2 x 2 Curved Bricks,1957,371,100
236-2,Garage and Van,1957,372,69
1307-1,VW Auto Showroom,1957,372,51
700GP6-2,Gift Package,1957,372,46
1306-1,VW Garage,1957,372,45
1260-2,1:87 Twenty Four Models,1957,368,24
283-1,"Sloping Ridge and Valley Bricks, Red",1957,371,20
283-2,"Sloping Ridge and Valley Bricks, Blue",1957,371,20
1242-2,International Flags,1957,371,5
1242D-1,5 Danish Flags,1957,371,5
1245-2,Lighting Device Pack,1957,371,3
1200M-1,LEGO Town Plan Wooden Board,1957,372,1
200-3,"LEGO Town Plan Board, Plastic",1957,372,1
200A-1,LEGO Town Plan Wooden Board,1957,372,1
200M-1,LEGO Town Plan Wooden Board,1957,372,1
700.2-2,Gift Package,1957,366,0
700.3A-2,Gift Package,1957,372,0
222-2,1 x 1 Bricks,1958,371,240
223-2,1 x 1 Round Bricks,1958,371,160
221-2,1 x 2 Bricks,1958,371,156
309-2,Church,1958,372,149
220-1,2 x 2 Bricks,1958,371,120
224-3,2 x 2 Curved Bricks,1958,371,120
308-3,Fire Station,1958,372,111
310-5,ESSO Filling Station,1958,372,96
219-1,2 x 3 Bricks,1958,371,90
218-2,2 x 4 Bricks,1958,371,78
225-1,1 x 6 and 1 x 8 Bricks,1958,371,54
234-1,Letter Bricks,1958,371,53
307-2,VW Auto Showroom,1958,372,51
